Id,Nome,FrequenciaAtividadeFisica,Sexo,Idade
875,Rachele,Monthly,Female,21
876,Pearce,Often,Genderfluid,20
877,Regen,Once,Male,27
878,Say,,Male,
879,Raymund,Monthly,Non-binary,43
880,Layney,Yearly,Female,59
881,Knox,Often,Male,39
882,Dalt,Often,Male,20
883,Byrann,Daily,Male,27
884,Verla,Daily,Non-binary,47
885,Cybil,Daily,Female,44
886,Arlen,Seldom,Female,31
887,Currey,Once,Male,39
888,Chrissie,Monthly,Non-binary,52
889,Marin,Yearly,Female,44
890,Katrinka,Daily,Genderfluid,26
891,Lorrie,Yearly,Genderfluid,32
892,Flori,Weekly,Female,56
893,Petra,Seldom,Female,55
894,Nicholas,Often,Male,56
895,Yves,Daily,Male,41
896,Davin,Once,Male,31
897,Gasper,Daily,Male,28
898,Gabi,Often,Male,44
899,Meghann,Seldom,Female,50
900,Mart,Monthly,Male,57
901,Tamqrah,Daily,Female,57
902,Aurea,Monthly,Female,44
903,Frasco,Never,Male,58
904,Mirabella,Yearly,Female,52
905,Yolande,Daily,Non-binary,23
906,Mead,Yearly,,26
907,Lilly,Never,Female,34
908,Sutherland,Yearly,Male,51
909,Clyde,Seldom,Male,49
910,Fernando,,Male,
911,Annice,Yearly,Female,54
912,Alana,Daily,Female,55
913,Byran,Yearly,Male,49
914,,Once,Male,49
915,Alysa,Seldom,Bigender,28
916,Inness,Seldom,Male,32
917,Karoly,Often,Male,32
918,Les,Yearly,Male,38
919,Frazier,Daily,Male,41
920,Art,Never,Male,29
921,Blanche,Monthly,Female,27
922,,Daily,Male,23
923,Timi,Monthly,Female,20
924,Jareb,Weekly,Male,56
925,Iver,Seldom,Male,49
926,Verena,Once,Female,48
927,,Weekly,Male,22
928,Dani,Yearly,Male,58
929,Constantina,Once,Female,60
930,Blinnie,,Female,
931,Chicky,Yearly,Male,23
932,Mauricio,Monthly,Agender,36
933,Ailee,Often,Female,27
934,Quentin,Often,Bigender,25
935,Tessi,Seldom,Genderfluid,29
936,Cort,Often,Male,44
937,Kalil,Monthly,Male,20
938,Trista,Never,Female,20
939,Shel,Monthly,Female,50
940,Pasquale,Weekly,Male,57
941,Levy,Once,Male,48
942,Vern,Once,Male,28
943,Katey,Never,Female,53
944,Ky,Once,Male,44
945,Tann,Daily,Male,57
946,Floyd,Yearly,Genderqueer,46
947,Evanne,Once,Female,39
948,Natty,Daily,Male,36
949,Giacomo,Often,Male,26
950,Charmion,Often,Female,31
951,Marijn,Monthly,Male,30
952,Glenn,Once,Male,59
953,Reeba,Monthly,Female,26
954,Kathe,Often,Female,46
955,,Once,Male,50
956,Anna-diane,Never,Non-binary,28
957,Alick,Weekly,Agender,49
958,Jilli,Daily,Female,28
959,Robby,Often,Male,58
960,Tina,Weekly,Female,45
961,Isobel,Monthly,Female,49
962,Joly,Yearly,Female,24
963,Tome,Monthly,Genderfluid,44
964,Dannye,Never,Female,36
965,Rozalie,Often,Bigender,22
966,,Once,Female,53
967,Ulrica,Monthly,Female,31
968,Sarena,Yearly,Female,28
969,Gabriela,Never,Female,55
970,Krisha,Yearly,Male,57
971,Hurley,Monthly,Male,32
972,Lucien,Yearly,Male,28
973,Tammi,Monthly,Female,54
974,Fraze,Once,Male,46
975,Constantine,Weekly,Female,60
976,Berton,Once,Male,43
977,Gerrilee,Often,Female,22
978,Genovera,Never,Female,22
979,Kirstyn,Never,Female,50
980,Jonas,,Male,
981,Caressa,Yearly,,46
982,Frank,Daily,Female,31
983,Katey,Yearly,Female,46
984,Marillin,Often,Female,53
985,Ulises,Yearly,Male,36
986,Marietta,Often,Female,54
987,Raffarty,Seldom,Male,23
988,Katrinka,Daily,Female,29
989,Lucio,Daily,Male,46
990,Drucie,Daily,Agender,60
991,Katharine,Monthly,Female,31
992,Hobart,Never,Male,41
993,Gustavo,Monthly,Male,35
994,Ozzie,Seldom,Male,30
995,Ario,Once,Male,58
996,Eadie,Daily,Female,38
997,Alleen,Once,Female,22
998,Mikaela,Weekly,Female,56
999,Lonnie,Monthly,Male,59
1000,Therine,Never,Female,44
